experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_dstar,aborted,0,2.083,5.81,0,1,0,1.095,0.4341
1,social_dstar,succeeded,1,37.968,103.87,8,10,2,0.01,0.4141
2,social_dstar,aborted,0,33.423,89.81,4,10,4,0.074,0.557
2,social_dstar,aborted,1,34.671,90.68,7,6,2,0.104,0.5963
3,social_dstar,timeout,0,18.451,144.57,21,23,3,0.054,0.3267
4,social_dstar,succeeded,0,40.328,109.53,9,15,4,0.026,0.4306
5,social_dstar,succeeded,0,35.035,86.71,6,8,2,0.142,0.4213
6,social_dstar,succeeded,0,32.25,81.24,10,9,3,0.111,0.3853
7,social_dstar,succeeded,0,32.73,82.26,10,8,2,0.13,0.3955
8,social_dstar,timeout,0,1.896,153.49,13,27,12,0.42,0.4708
9,social_dstar,timeout,0,35.242,153.04,11,18,6,0.094,0.5212
10,social_dstar,timeout,0,14.512,154.82,14,16,12,0.069,0.3111
11,social_dstar,succeeded,0,36.112,90.77,7,10,5,0.052,0.3864
12,social_dstar,succeeded,0,32.23,81.58,6,9,3,0.141,0.3676
13,social_dstar,succeeded,0,32.299,81.95,8,9,5,0.158,0.4084
14,social_dstar,timeout,0,5.477,159.43,0,0,0,1.763,0.2064
15,social_dstar,timeout,0,16.679,163.23,4,6,2,0.017,0.4
16,social_dstar,succeeded,0,38.694,105.8,8,14,4,0.075,0.4573
17,social_dstar,succeeded,0,32.293,81.82,6,7,4,0.111,0.3695
18,social_dstar,succeeded,0,32.788,82.44,6,7,4,0.32,0.3794
19,social_dstar,succeeded,0,32.434,81.58,4,9,2,0.035,0.429
20,social_dstar,succeeded,0,32.738,82.08,7,7,4,0.143,0.3666
21,social_dstar,succeeded,0,36.272,91.46,13,13,2,0.137,0.4142
22,social_dstar,succeeded,0,32.152,81.09,9,9,5,0.175,0.3593
23,social_dstar,succeeded,0,32.391,81.91,11,7,2,0.162,0.3669
24,social_dstar,timeout,0,25.644,158.76,8,13,5,0.156,0.2955
25,social_dstar,timeout,0,29.026,161.89,19,21,6,0.029,0.3923
