experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_dstar,succeeded,0,36.541,99.32,9,18,3,0.041,0.3687
2,social_dstar,succeeded,0,32.681,83.72,4,10,2,0.328,0.2768
3,social_dstar,aborted,0,13.541,73.07,1,1,1,0.382,0.392
3,social_dstar,timeout,1,26.075,240.63,33,40,2,0.219,0.1812
4,social_dstar,succeeded,0,42.685,115.38,10,9,0,0.49,0.3141
5,social_dstar,aborted,0,6.631,20.72,1,2,0,0.932,0.4722
5,social_dstar,succeeded,1,39.583,114.89,10,12,4,0.032,0.3054
6,social_dstar,timeout,0,26.002,240.49,3,5,4,0.12,0.1741
7,social_dstar,succeeded,0,36.739,102.17,5,9,2,0.134,0.2594
8,social_dstar,succeeded,0,32.497,81.99,8,10,0,0.518,0.206
9,social_dstar,succeeded,0,32.895,81.92,5,9,0,0.539,0.2127
10,social_dstar,succeeded,0,32.655,101.9,7,9,2,0.301,0.2813
11,social_dstar,succeeded,0,32.457,81.36,5,8,0,0.557,0.2366
12,social_dstar,aborted,0,12.136,235.35,4,6,2,0.14,0.1036
12,social_dstar,succeeded,1,37.156,101.03,5,9,1,0.39,0.244
13,social_dstar,aborted,0,23.648,90.77,8,11,4,0.096,0.4007
13,social_dstar,aborted,1,38.019,112.27,11,15,6,0.236,0.3035
14,social_dstar,succeeded,0,54.806,146.63,16,16,5,0.119,0.2576
15,social_dstar,succeeded,0,32.961,132.24,11,16,9,0.16,0.2247
16,social_dstar,succeeded,0,34.38,111.02,8,13,2,0.137,0.21
17,social_dstar,succeeded,0,33.119,133.85,11,18,2,0.31,0.2046
18,social_dstar,timeout,0,32.74,240.51,23,22,24,0.037,0.1443
19,social_dstar,succeeded,0,36.931,100.11,5,8,0,0.481,0.1972
20,social_dstar,succeeded,0,39.563,102.41,6,8,6,0.092,0.2076
21,social_dstar,succeeded,0,32.808,112.24,12,14,2,0.357,0.1925
22,social_dstar,succeeded,0,33.12,135.33,12,18,3,0.282,0.2204
23,social_dstar,succeeded,0,32.63,132.52,13,19,3,0.063,0.1967
24,social_dstar,succeeded,0,32.797,136.0,10,18,8,0.213,0.1833
25,social_dstar,succeeded,0,32.452,82.16,11,10,0,0.48,0.1829
