experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,astar,succeeded,0,4.414,0.001871,1,1,0,0.4995768209194654,0
1,dstar_lite,succeeded,0,4.414,0.068324,1,1,0,0.4995768209194654,0
2,astar,succeeded,0,4.414,0.001907,1,1,0,0.4995768209194654,0
2,dstar_lite,succeeded,0,4.414,0.069765,1,1,0,0.4995768209194654,0
3,astar,succeeded,0,4.414,0.001850,1,1,0,0.4995768209194654,0
3,dstar_lite,succeeded,0,4.414,0.069786,1,1,0,0.4995768209194654,0
4,astar,succeeded,0,4.414,0.002349,1,1,0,0.4995768209194654,0
4,dstar_lite,succeeded,0,4.414,0.068344,1,1,0,0.4995768209194654,0
5,astar,succeeded,0,4.414,0.002024,1,1,0,0.4995768209194654,0
5,dstar_lite,succeeded,0,4.414,0.071363,1,1,0,0.4995768209194654,0
6,astar,succeeded,0,4.414,0.001971,1,1,0,0.4995768209194654,0
6,dstar_lite,succeeded,0,4.414,0.070852,1,1,0,0.4995768209194654,0
7,astar,succeeded,0,4.414,0.001848,1,1,0,0.4995768209194654,0
7,dstar_lite,succeeded,0,4.414,0.070286,1,1,0,0.4995768209194654,0
8,astar,succeeded,0,4.414,0.001923,1,1,0,0.4995768209194654,0
8,dstar_lite,succeeded,0,4.414,0.070820,1,1,0,0.4995768209194654,0
9,astar,succeeded,0,4.414,0.001945,1,1,0,0.4995768209194654,0
9,dstar_lite,succeeded,0,4.414,0.075313,1,1,0,0.4995768209194654,0
10,astar,succeeded,0,4.414,0.002078,1,1,0,0.4995768209194654,0
10,dstar_lite,succeeded,0,4.414,0.069963,1,1,0,0.4995768209194654,0
11,astar,succeeded,0,4.414,0.002208,1,1,0,0.4995768209194654,0
11,dstar_lite,succeeded,0,4.414,0.071359,1,1,0,0.4995768209194654,0
12,astar,succeeded,0,4.414,0.002058,1,1,0,0.4995768209194654,0
12,dstar_lite,succeeded,0,4.414,0.072683,1,1,0,0.4995768209194654,0
13,astar,succeeded,0,4.414,0.001849,1,1,0,0.4995768209194654,0
13,dstar_lite,succeeded,0,4.414,0.080534,1,1,0,0.4995768209194654,0
14,astar,succeeded,0,4.414,0.001905,1,1,0,0.4995768209194654,0
14,dstar_lite,succeeded,0,4.414,0.072905,1,1,0,0.4995768209194654,0
15,astar,succeeded,0,4.414,0.001899,1,1,0,0.4995768209194654,0
15,dstar_lite,succeeded,0,4.414,0.098234,1,1,0,0.4995768209194654,0
16,astar,succeeded,0,4.414,0.001875,1,1,0,0.4995768209194654,0
16,dstar_lite,succeeded,0,4.414,0.072398,1,1,0,0.4995768209194654,0
17,astar,succeeded,0,4.414,0.002123,1,1,0,0.4995768209194654,0
17,dstar_lite,succeeded,0,4.414,0.077436,1,1,0,0.4995768209194654,0
18,astar,succeeded,0,4.414,0.003304,1,1,0,0.4995768209194654,0
18,dstar_lite,succeeded,0,4.414,0.072259,1,1,0,0.4995768209194654,0
19,astar,succeeded,0,4.414,0.001861,1,1,0,0.4995768209194654,0
19,dstar_lite,succeeded,0,4.414,0.073818,1,1,0,0.4995768209194654,0
20,astar,succeeded,0,4.414,0.001905,1,1,0,0.4995768209194654,0
20,dstar_lite,succeeded,0,4.414,0.072369,1,1,0,0.4995768209194654,0
21,astar,succeeded,0,4.414,0.002241,1,1,0,0.4995768209194654,0
21,dstar_lite,succeeded,0,4.414,0.069671,1,1,0,0.4995768209194654,0
22,astar,succeeded,0,4.414,0.001835,1,1,0,0.4995768209194654,0
22,dstar_lite,succeeded,0,4.414,0.071665,1,1,0,0.4995768209194654,0
23,astar,succeeded,0,4.414,0.001925,1,1,0,0.4995768209194654,0
23,dstar_lite,succeeded,0,4.414,0.070636,1,1,0,0.4995768209194654,0
24,astar,succeeded,0,4.414,0.002094,1,1,0,0.4995768209194654,0
24,dstar_lite,succeeded,0,4.414,0.069213,1,1,0,0.4995768209194654,0
25,astar,succeeded,0,4.414,0.001901,1,1,0,0.4995768209194654,0
25,dstar_lite,succeeded,0,4.414,0.070080,1,1,0,0.4995768209194654,0
