experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,actual_rtf,time_wall_actual_s,time_wall_actual_min
1,social,succeeded,0,36.334,118.41,8,15,2,0.055,0.3284,0.605,195.72,3.26
2,social,timeout,0,30.879,146.04,12,21,8,0.027,0.3205,0.605,241.39,4.02
3,social,succeeded,0,36.978,105.13,9,11,3,0.232,0.3639,0.605,173.77,2.90
4,social,timeout,0,19.616,149.97,22,22,4,0.062,0.205,0.605,247.88,4.13
5,social,succeeded,0,36.199,95.5,12,14,3,0.11,0.2864,0.605,157.85,2.63
6,social,succeeded,0,31.968,130.32,10,13,7,0.3,0.2603,0.605,215.40,3.59
7,social,aborted,0,24.98,102.14,11,10,8,0.065,0.3891,0.605,168.83,2.81
7,social,succeeded,1,36.174,106.96,7,11,5,0.245,0.2841,0.605,176.79,2.95
8,social,succeeded,0,32.206,86.4,7,8,5,0.128,0.257,0.605,142.81,2.38
9,social,succeeded,0,33.401,94.06,8,16,4,0.281,0.3215,0.605,155.47,2.59
10,social,aborted,0,16.207,40.94,2,2,2,0.171,0.3243,0.605,67.67,1.13
10,social,succeeded,1,36.329,95.14,8,10,5,0.228,0.2526,0.605,157.26,2.62
11,social,succeeded,0,32.35,81.72,4,4,0,0.519,0.2419,0.605,135.07,2.25
12,social,succeeded,0,32.205,84.88,5,6,3,0.09,0.2237,0.605,140.30,2.34
13,social,succeeded,0,32.275,125.49,12,16,2,0.373,0.2411,0.605,207.42,3.46
14,social,succeeded,0,32.085,82.57,5,7,0,0.548,0.2283,0.605,136.48,2.27
15,social,succeeded,0,34.482,106.2,9,14,2,0.329,0.2468,0.605,175.54,2.93
16,social,aborted,0,19.362,67.2,6,6,5,0.026,0.3516,0.605,111.07,1.85
16,social,succeeded,1,36.744,104.37,6,10,5,0.068,0.2325,0.605,172.51,2.88
17,social,timeout,0,25.129,210.49,8,12,10,0.223,0.1779,0.605,347.92,5.80
18,social,succeeded,0,37.638,111.33,9,16,1,0.221,0.2289,0.605,184.02,3.07
19,social,succeeded,0,32.221,82.16,5,6,0,0.602,0.2233,0.605,135.80,2.26
20,social,timeout,0,3.044,215.56,1,3,0,0.48,0.1191,0.605,356.30,5.94
21,social,succeeded,0,36.086,102.16,7,11,4,0.046,0.209,0.605,168.86,2.81
22,social,aborted,0,31.507,106.79,12,15,5,0.251,0.2669,0.605,176.51,2.94
22,social,timeout,1,20.9,217.95,4,5,2,0.067,0.171,0.605,360.25,6.00
23,social,succeeded,0,36.517,102.41,7,7,3,0.054,0.2087,0.605,169.27,2.82
24,social,succeeded,0,32.446,126.68,11,16,6,0.017,0.2109,0.605,209.39,3.49
25,social,succeeded,0,32.357,115.38,8,13,7,0.291,0.1915,0.605,190.71,3.18
1,social_astar,succeeded,0,37.485,140.53,10,15,7,0.067,0.2761,0.970,144.88,2.41
2,social_astar,succeeded,0,34.238,115.06,13,12,5,0.286,0.2807,0.970,118.62,1.98
3,social_astar,aborted,0,3.294,9.15,2,2,0,0.633,0.5081,0.970,9.43,0.16
3,social_astar,succeeded,1,37.444,103.74,6,8,3,0.19,0.2818,0.970,106.95,1.78
4,social_astar,timeout,0,26.104,263.24,9,12,8,0.217,0.1605,0.970,271.38,4.52
5,social_astar,aborted,0,35.081,92.0,8,9,5,0.2,0.3301,0.970,94.85,1.58
5,social_astar,succeeded,1,38.657,131.45,12,16,6,0.032,0.2231,0.970,135.52,2.26
6,social_astar,succeeded,0,32.31,126.63,14,18,6,0.125,0.2103,0.970,130.55,2.18
7,social_astar,timeout,0,2.972,289.62,3,6,1,0.104,0.1135,0.970,298.58,4.98
8,social_astar,succeeded,0,36.774,100.52,5,6,2,0.243,0.2114,0.970,103.63,1.73
9,social_astar,succeeded,0,33.782,82.91,7,8,1,0.391,0.2379,0.970,85.47,1.42
10,social_astar,succeeded,0,32.21,113.68,8,11,10,0.24,0.1933,0.970,117.20,1.95
11,social_astar,succeeded,0,32.788,87.19,8,14,6,0.063,0.2593,0.970,89.89,1.50
12,social_astar,succeeded,0,32.574,126.89,11,15,9,0.09,0.2236,0.970,130.81,2.18
13,social_astar,aborted,0,22.181,133.9,12,14,10,0.038,0.2082,0.970,138.04,2.30
13,social_astar,succeeded,1,36.489,101.15,4,9,0,0.545,0.2069,0.970,104.28,1.74
14,social_astar,timeout,0,24.716,300.69,13,17,9,0.144,0.1497,0.970,309.99,5.17
15,social_astar,succeeded,0,37.045,170.39,21,21,13,0.011,0.2069,0.970,175.66,2.93
16,social_astar,aborted,0,2.696,71.73,10,12,5,0.098,0.1126,0.970,73.95,1.23
16,social_astar,succeeded,1,36.562,99.23,4,10,3,0.203,0.1936,0.970,102.30,1.70
17,social_astar,succeeded,0,32.594,92.38,11,14,6,0.224,0.1993,0.970,95.24,1.59
18,social_astar,succeeded,0,32.088,112.97,8,12,7,0.166,0.1785,0.970,116.46,1.94
19,social_astar,succeeded,0,32.595,126.49,11,16,7,0.043,0.1649,0.970,130.40,2.17
20,social_astar,succeeded,0,32.791,101.03,11,10,6,0.015,0.193,0.970,104.15,1.74
21,social_astar,succeeded,0,34.259,100.18,7,18,11,0.102,0.1894,0.970,103.28,1.72
22,social_astar,succeeded,0,32.865,113.59,8,11,4,0.293,0.183,0.970,117.10,1.95
23,social_astar,succeeded,0,32.398,103.87,9,14,3,0.134,0.1765,0.970,107.08,1.78
24,social_astar,succeeded,0,33.876,101.5,9,10,5,0.094,0.1958,0.970,104.64,1.74
25,social_astar,succeeded,0,35.209,100.55,9,9,4,0.034,0.192,0.970,103.66,1.73
1,social_dstar,timeout,0,37.139,217.74,23,31,7,0.101,0.284,0.951,228.96,3.82
