experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,0,36.72,99.99,0,0,0,,0.1612
2,baseline,succeeded,0,36.437,99.99,0,0,0,,0.1657
3,baseline,succeeded,0,36.555,101.39,0,0,0,,0.155
4,baseline,succeeded,0,36.746,100.62,0,0,0,,0.1572
5,baseline,succeeded,0,36.48,100.13,0,0,0,,0.1674
6,baseline,succeeded,0,36.511,99.85,0,0,0,,0.1729
7,baseline,succeeded,0,36.843,101.15,0,0,0,,0.1465
8,baseline,succeeded,0,36.76,100.38,0,0,0,,0.1546
9,baseline,succeeded,0,36.377,100.74,0,0,0,,0.1528
10,baseline,succeeded,0,36.644,100.21,0,0,0,,0.2528
1,dynamic,timeout,0,30.979,450.58,44,69,39,0.033,0.1546
2,dynamic,succeeded,0,38.211,109.74,10,13,3,0.323,0.3044
3,dynamic,timeout,0,29.424,450.6,63,71,44,0.033,0.1456
4,dynamic,succeeded,0,36.471,94.86,7,11,5,0.114,0.249
5,dynamic,succeeded,0,36.413,96.3,7,13,5,0.278,0.2474
6,dynamic,succeeded,0,36.341,95.1,7,14,5,0.245,0.2546
7,dynamic,succeeded,0,36.455,96.18,6,11,4,0.16,0.2481
8,dynamic,aborted,0,44.272,244.76,11,22,6,0.015,0.1988
8,dynamic,succeeded,1,35.961,94.48,7,10,4,0.175,0.2368
9,dynamic,succeeded,0,36.397,96.43,6,12,2,0.239,0.2262
10,dynamic,succeeded,0,37.338,102.38,5,9,3,0.109,0.2479
1,dynamic_astar,succeeded,0,36.386,96.46,6,21,4,0.358,0.3082
2,dynamic_astar,succeeded,0,36.064,96.39,7,10,5,0.206,0.3501
3,dynamic_astar,succeeded,0,36.284,99.5,9,10,2,0.21,0.3336
4,dynamic_astar,succeeded,0,36.145,94.93,7,11,4,0.29,0.2593
5,dynamic_astar,succeeded,0,39.609,116.78,8,11,2,0.223,0.2289
6,dynamic_astar,succeeded,0,36.361,96.5,7,12,5,0.25,0.2516
7,dynamic_astar,aborted,0,33.807,98.45,17,9,5,0.348,0.2941
7,dynamic_astar,succeeded,1,36.445,94.54,6,11,5,0.257,0.2536
8,dynamic_astar,succeeded,0,36.272,95.49,9,11,3,0.231,0.2672
9,dynamic_astar,succeeded,0,36.296,95.12,7,11,3,0.209,0.2572
10,dynamic_astar,timeout,0,30.966,450.33,45,78,4,0.02,0.1189
1,dynamic_dstar,aborted,0,36.227,110.01,18,14,10,0.03,0.3599
1,dynamic_dstar,aborted,1,35.246,292.97,15,15,6,0.028,0.1806
1,dynamic_dstar,succeeded,2,43.055,395.23,34,59,28,0.047,0.1516
2,dynamic_dstar,aborted,0,29.828,330.72,48,58,7,0.007,0.1378
2,dynamic_dstar,aborted,1,39.004,385.56,34,41,30,0.061,0.1355
2,dynamic_dstar,succeeded,2,37.578,97.23,8,13,4,0.106,0.2308
3,dynamic_dstar,succeeded,0,38.949,114.56,9,9,5,0.169,0.1983
4,dynamic_dstar,aborted,0,32.95,87.97,6,8,3,0.124,0.1743
4,dynamic_dstar,succeeded,1,36.604,98.35,7,9,3,0.04,0.1627
5,dynamic_dstar,succeeded,0,42.275,122.91,7,14,4,0.237,0.1555
6,dynamic_dstar,succeeded,0,38.473,106.61,6,11,2,0.069,0.2128
7,dynamic_dstar,aborted,0,38.529,350.03,16,21,8,0.108,0.1155
7,dynamic_dstar,succeeded,1,37.958,99.87,5,7,3,0.05,0.1654
8,dynamic_dstar,succeeded,0,36.785,95.98,6,13,2,0.013,0.1654
9,dynamic_dstar,succeeded,0,36.841,99.38,8,10,3,0.07,0.1827
10,dynamic_dstar,succeeded,0,36.714,98.58,7,9,4,0.034,0.1434
