"group_no","row_no_in_group","display_run_no","run_no","original_run_no","mode","result","attempt","source_file","source_row","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration"
"1","1","1","1","1","baseline","succeeded","0","dynamic_4groups_headless_10.csv","1","36.72","99.99","0","0","0","","0.1612"
"1","2","2","2","2","baseline","succeeded","0","dynamic_4groups_headless_10.csv","2","36.437","99.99","0","0","0","","0.1657"
"1","3","3","3","3","baseline","succeeded","0","dynamic_4groups_headless_10.csv","3","36.555","101.39","0","0","0","","0.155"
"1","4","4","4","4","baseline","succeeded","0","dynamic_4groups_headless_10.csv","4","36.746","100.62","0","0","0","","0.1572"
"1","5","5","5","5","baseline","succeeded","0","dynamic_4groups_headless_10.csv","5","36.48","100.13","0","0","0","","0.1674"
"1","6","6","6","6","baseline","succeeded","0","dynamic_4groups_headless_10.csv","6","36.511","99.85","0","0","0","","0.1729"
"1","7","7","7","7","baseline","succeeded","0","dynamic_4groups_headless_10.csv","7","36.843","101.15","0","0","0","","0.1465"
"1","8","8","8","8","baseline","succeeded","0","dynamic_4groups_headless_10.csv","8","36.76","100.38","0","0","0","","0.1546"
"1","9","9","9","9","baseline","succeeded","0","dynamic_4groups_headless_10.csv","9","36.377","100.74","0","0","0","","0.1528"
"1","10","10","10","10","baseline","succeeded","0","dynamic_4groups_headless_10.csv","10","36.644","100.21","0","0","0","","0.2528"
"1","11","11","11","1","baseline","succeeded","0","experiment_results_v3.csv","1","36.729","101.73","0","0","0","","0.1616"
"1","12","12","12","2","baseline","succeeded","0","experiment_results_v3.csv","2","36.866","102.04","0","0","0","","0.1672"
"1","13","13","13","3","baseline","succeeded","0","experiment_results_v3.csv","3","36.705","101.8","0","0","0","","0.1583"
"1","14","14","14","4","baseline","succeeded","0","experiment_results_v3.csv","4","36.8","99.29","0","0","0","","0.1647"
"1","15","15","15","5","baseline","succeeded","0","experiment_results_v3.csv","5","36.962","102.42","0","0","0","","0.148"
"1","16","16","16","6","baseline","succeeded","0","experiment_results_v3.csv","6","36.204","98.1","0","0","0","","0.1753"
"1","17","17","17","7","baseline","succeeded","0","experiment_results_v3.csv","7","36.47","98.89","0","0","0","","0.1594"
"1","18","18","18","8","baseline","succeeded","0","experiment_results_v3.csv","8","36.401","99.69","0","0","0","","0.1513"
"1","19","19","19","9","baseline","succeeded","0","experiment_results_v3.csv","9","36.5","99.9","0","0","0","","0.156"
"1","20","20","20","10","baseline","succeeded","0","experiment_results_v3.csv","10","36.534","101.29","0","0","0","","0.1582"
"2","1","1","1","1","dynamic","timeout","0","dynamic_4groups_headless_10.csv","11","30.979","450.58","44","69","39","0.033","0.1546"
"2","2","2","2","2","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","12","38.211","109.74","10","13","3","0.323","0.3044"
"2","3","3","3","3","dynamic","timeout","0","dynamic_4groups_headless_10.csv","13","29.424","450.6","63","71","44","0.033","0.1456"
"2","4","4","4","4","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","14","36.471","94.86","7","11","5","0.114","0.249"
"2","5","5","5","5","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","15","36.413","96.3","7","13","5","0.278","0.2474"
"2","6","6","6","6","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","16","36.341","95.1","7","14","5","0.245","0.2546"
"2","7","7","7","7","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","17","36.455","96.18","6","11","4","0.16","0.2481"
"2","8","8","8","8","dynamic","aborted","0","dynamic_4groups_headless_10.csv","18","44.272","244.76","11","22","6","0.015","0.1988"
"2","9","8","8","8","dynamic","succeeded","1","dynamic_4groups_headless_10.csv","19","35.961","94.48","7","10","4","0.175","0.2368"
"2","10","9","9","9","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","20","36.397","96.43","6","12","2","0.239","0.2262"
"2","11","10","10","10","dynamic","succeeded","0","dynamic_4groups_headless_10.csv","21","37.338","102.38","5","9","3","0.109","0.2479"
"2","12","11","11","1","dynamic","succeeded","0","experiment_results_v3.csv","11","37.849","228.01","17","32","3","0.079","0.206"
"2","13","12","12","2","dynamic","succeeded","0","experiment_results_v3.csv","12","36.57","95.15","7","12","3","0.274","0.25"
"2","14","13","13","3","dynamic","aborted","0","experiment_results_v3.csv","13","31.283","92.18","9","11","6","0.208","0.3256"
"2","15","13","13","3","dynamic","succeeded","1","experiment_results_v3.csv","14","42.562","116.58","7","12","4","0.051","0.302"
"2","16","14","14","4","dynamic","succeeded","0","experiment_results_v3.csv","15","39.671","105.24","8","10","4","0.257","0.3628"
"2","17","15","15","5","dynamic","succeeded","0","experiment_results_v3.csv","16","36.896","98.39","6","12","4","0.142","0.2898"
"2","18","16","16","6","dynamic","succeeded","0","experiment_results_v3.csv","17","36.416","97.55","7","12","3","0.26","0.3479"
"2","19","17","17","7","dynamic","succeeded","0","experiment_results_v3.csv","18","36.406","99.05","7","10","3","0.124","0.203"
"2","20","18","18","8","dynamic","aborted","0","experiment_results_v3.csv","19","32.063","104.98","10","11","4","0.101","0.2824"
"2","21","18","18","8","dynamic","aborted","1","experiment_results_v3.csv","20","28.905","114.99","12","12","3","0.121","0.2805"
"2","22","18","18","8","dynamic","succeeded","2","experiment_results_v3.csv","21","44.305","124.3","12","12","5","0.023","0.301"
"2","23","19","19","9","dynamic","aborted","0","experiment_results_v3.csv","22","17.135","56.64","2","5","2","0.076","0.3262"
"2","24","19","19","9","dynamic","succeeded","1","experiment_results_v3.csv","23","36.301","99.97","5","7","2","0.282","0.2439"
"2","25","20","20","10","dynamic","aborted","0","experiment_results_v3.csv","24","25.795","345.66","45","50","3","0.198","0.1023"
"2","26","20","20","10","dynamic","succeeded","1","experiment_results_v3.csv","25","36.249","97.88","8","13","3","0.302","0.2763"
"3","1","1","1","1","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","22","36.386","96.46","6","21","4","0.358","0.3082"
"3","2","2","2","2","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","23","36.064","96.39","7","10","5","0.206","0.3501"
"3","3","3","3","3","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","24","36.284","99.5","9","10","2","0.21","0.3336"
"3","4","4","4","4","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","25","36.145","94.93","7","11","4","0.29","0.2593"
"3","5","5","5","5","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","26","39.609","116.78","8","11","2","0.223","0.2289"
"3","6","6","6","6","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","27","36.361","96.5","7","12","5","0.25","0.2516"
"3","7","7","7","7","dynamic_astar","aborted","0","dynamic_4groups_headless_10.csv","28","33.807","98.45","17","9","5","0.348","0.2941"
"3","8","7","7","7","dynamic_astar","succeeded","1","dynamic_4groups_headless_10.csv","29","36.445","94.54","6","11","5","0.257","0.2536"
"3","9","8","8","8","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","30","36.272","95.49","9","11","3","0.231","0.2672"
"3","10","9","9","9","dynamic_astar","succeeded","0","dynamic_4groups_headless_10.csv","31","36.296","95.12","7","11","3","0.209","0.2572"
"3","11","10","10","10","dynamic_astar","timeout","0","dynamic_4groups_headless_10.csv","32","30.966","450.33","45","78","4","0.02","0.1189"
"3","12","11","11","1","dynamic_astar","aborted","0","experiment_results_v3.csv","26","27.073","74.92","7","15","3","0.159","0.3929"
"3","13","11","11","1","dynamic_astar","succeeded","1","experiment_results_v3.csv","27","41.694","383.21","29","32","7","0.114","0.1736"
"3","14","12","12","2","dynamic_astar","succeeded","0","experiment_results_v3.csv","28","36.254","95.13","7","11","4","0.336","0.2754"
"3","15","13","13","3","dynamic_astar","timeout","0","experiment_results_v3.csv","29","37.355","450.61","34","38","49","0.033","0.1406"
"3","16","14","14","4","dynamic_astar","succeeded","0","experiment_results_v3.csv","30","36.329","95.94","7","11","4","0.269","0.2456"
"3","17","15","15","5","dynamic_astar","aborted","0","experiment_results_v3.csv","31","28.21","91.52","10","13","6","0.024","0.3318"
"3","18","15","15","5","dynamic_astar","succeeded","1","experiment_results_v3.csv","32","36.431","99.67","6","10","3","0.305","0.2547"
"3","19","16","16","6","dynamic_astar","aborted","0","experiment_results_v3.csv","33","26.086","351.64","46","54","44","0.077","0.1114"
"3","20","16","16","6","dynamic_astar","succeeded","1","experiment_results_v3.csv","34","36.842","98.58","6","8","1","0.248","0.245"
"3","21","17","17","7","dynamic_astar","aborted","0","experiment_results_v3.csv","35","15.063","63.99","6","7","0","0.512","0.3368"
"3","22","17","17","7","dynamic_astar","succeeded","1","experiment_results_v3.csv","36","36.105","94.14","6","12","3","0.097","0.2371"
"3","23","18","18","8","dynamic_astar","aborted","0","experiment_results_v3.csv","37","16.482","58.26","4","6","3","0.157","0.3075"
"3","24","18","18","8","dynamic_astar","succeeded","1","experiment_results_v3.csv","38","36.601","99.28","6","10","2","0.221","0.2283"
"3","25","19","19","9","dynamic_astar","aborted","0","experiment_results_v3.csv","39","45.106","142.17","14","15","4","0.217","0.2291"
"3","26","19","19","9","dynamic_astar","succeeded","1","experiment_results_v3.csv","40","38.795","115.56","5","12","5","0.157","0.2137"
"3","27","20","20","10","dynamic_astar","succeeded","0","experiment_results_v3.csv","41","41.017","108.62","7","11","4","0.032","0.2497"
"4","1","1","1","1","dynamic_dstar","aborted","0","dynamic_4groups_headless_10.csv","33","36.227","110.01","18","14","10","0.03","0.3599"
"4","2","1","1","1","dynamic_dstar","aborted","1","dynamic_4groups_headless_10.csv","34","35.246","292.97","15","15","6","0.028","0.1806"
"4","3","1","1","1","dynamic_dstar","succeeded","2","dynamic_4groups_headless_10.csv","35","43.055","395.23","34","59","28","0.047","0.1516"
"4","4","2","2","2","dynamic_dstar","aborted","0","dynamic_4groups_headless_10.csv","36","29.828","330.72","48","58","7","0.007","0.1378"
"4","5","2","2","2","dynamic_dstar","aborted","1","dynamic_4groups_headless_10.csv","37","39.004","385.56","34","41","30","0.061","0.1355"
"4","6","2","2","2","dynamic_dstar","succeeded","2","dynamic_4groups_headless_10.csv","38","37.578","97.23","8","13","4","0.106","0.2308"
"4","7","3","3","3","dynamic_dstar","succeeded","0","dynamic_4groups_headless_10.csv","39","38.949","114.56","9","9","5","0.169","0.1983"
"4","8","4","4","4","dynamic_dstar","aborted","0","dynamic_4groups_headless_10.csv","40","32.95","87.97","6","8","3","0.124","0.1743"
"4","9","4","4","4","dynamic_dstar","succeeded","1","dynamic_4groups_headless_10.csv","41","36.604","98.35","7","9","3","0.04","0.1627"
"4","10","5","5","5","dynamic_dstar","succeeded","0","dynamic_4groups_headless_10.csv","42","42.275","122.91","7","14","4","0.237","0.1555"
"4","11","6","6","6","dynamic_dstar","succeeded","0","dynamic_4groups_headless_10.csv","43","38.473","106.61","6","11","2","0.069","0.2128"
"4","12","7","7","7","dynamic_dstar","aborted","0","dynamic_4groups_headless_10.csv","44","38.529","350.03","16","21","8","0.108","0.1155"
