"experiment","mode","result","attempt","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration","source"
"1","baseline","succeeded","0","36.72","99.99","0","0","0","","0.1612","dynamic_4groups_headless_10.csv"
"2","baseline","succeeded","0","36.437","99.99","0","0","0","","0.1657","dynamic_4groups_headless_10.csv"
"3","baseline","succeeded","0","36.555","101.39","0","0","0","","0.155","dynamic_4groups_headless_10.csv"
"4","baseline","succeeded","0","36.746","100.62","0","0","0","","0.1572","dynamic_4groups_headless_10.csv"
"5","baseline","succeeded","0","36.48","100.13","0","0","0","","0.1674","dynamic_4groups_headless_10.csv"
"6","baseline","succeeded","0","36.511","99.85","0","0","0","","0.1729","dynamic_4groups_headless_10.csv"
"7","baseline","succeeded","0","36.843","101.15","0","0","0","","0.1465","dynamic_4groups_headless_10.csv"
"8","baseline","succeeded","0","36.76","100.38","0","0","0","","0.1546","dynamic_4groups_headless_10.csv"
"9","baseline","succeeded","0","36.377","100.74","0","0","0","","0.1528","dynamic_4groups_headless_10.csv"
"10","baseline","succeeded","0","36.644","100.21","0","0","0","","0.2528","dynamic_4groups_headless_10.csv"
"11","baseline","succeeded","0","36.729","101.73","0","0","0","","0.1616","experiment_results_v3.csv"
"12","baseline","succeeded","0","36.866","102.04","0","0","0","","0.1672","experiment_results_v3.csv"
"13","baseline","succeeded","0","36.705","101.8","0","0","0","","0.1583","experiment_results_v3.csv"
"14","baseline","succeeded","0","36.8","99.29","0","0","0","","0.1647","experiment_results_v3.csv"
"15","baseline","succeeded","0","36.962","102.42","0","0","0","","0.148","experiment_results_v3.csv"
"16","baseline","succeeded","0","36.204","98.1","0","0","0","","0.1753","experiment_results_v3.csv"
"17","baseline","succeeded","0","36.47","98.89","0","0","0","","0.1594","experiment_results_v3.csv"
"18","baseline","succeeded","0","36.401","99.69","0","0","0","","0.1513","experiment_results_v3.csv"
"19","baseline","succeeded","0","36.5","99.9","0","0","0","","0.156","experiment_results_v3.csv"
"20","baseline","succeeded","0","36.534","101.29","0","0","0","","0.1582","experiment_results_v3.csv"
"1","dynamic","timeout","0","30.979","450.58","44","69","39","0.033","0.1546","dynamic_4groups_headless_10.csv"
"2","dynamic","succeeded","0","38.211","109.74","10","13","3","0.323","0.3044","dynamic_4groups_headless_10.csv"
"3","dynamic","timeout","0","29.424","450.6","63","71","44","0.033","0.1456","dynamic_4groups_headless_10.csv"
"4","dynamic","succeeded","0","36.471","94.86","7","11","5","0.114","0.249","dynamic_4groups_headless_10.csv"
"5","dynamic","succeeded","0","36.413","96.3","7","13","5","0.278","0.2474","dynamic_4groups_headless_10.csv"
"6","dynamic","succeeded","0","36.341","95.1","7","14","5","0.245","0.2546","dynamic_4groups_headless_10.csv"
"7","dynamic","succeeded","0","36.455","96.18","6","11","4","0.16","0.2481","dynamic_4groups_headless_10.csv"
"8","dynamic","aborted","0","44.272","244.76","11","22","6","0.015","0.1988","dynamic_4groups_headless_10.csv"
"8","dynamic","succeeded","1","35.961","94.48","7","10","4","0.175","0.2368","dynamic_4groups_headless_10.csv"
"9","dynamic","succeeded","0","36.397","96.43","6","12","2","0.239","0.2262","dynamic_4groups_headless_10.csv"
"10","dynamic","succeeded","0","37.338","102.38","5","9","3","0.109","0.2479","dynamic_4groups_headless_10.csv"
"11","dynamic","succeeded","0","37.849","228.01","17","32","3","0.079","0.206","experiment_results_v3.csv"
"12","dynamic","succeeded","0","36.57","95.15","7","12","3","0.274","0.25","experiment_results_v3.csv"
"13","dynamic","aborted","0","31.283","92.18","9","11","6","0.208","0.3256","experiment_results_v3.csv"
"13","dynamic","succeeded","1","42.562","116.58","7","12","4","0.051","0.302","experiment_results_v3.csv"
