experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,0,36.729,101.73,0,0,0,,0.1616
2,baseline,succeeded,0,36.866,102.04,0,0,0,,0.1672
3,baseline,succeeded,0,36.705,101.8,0,0,0,,0.1583
4,baseline,succeeded,0,36.8,99.29,0,0,0,,0.1647
5,baseline,succeeded,0,36.962,102.42,0,0,0,,0.148
6,baseline,succeeded,0,36.204,98.1,0,0,0,,0.1753
7,baseline,succeeded,0,36.47,98.89,0,0,0,,0.1594
8,baseline,succeeded,0,36.401,99.69,0,0,0,,0.1513
9,baseline,succeeded,0,36.5,99.9,0,0,0,,0.156
10,baseline,succeeded,0,36.534,101.29,0,0,0,,0.1582
1,dynamic,succeeded,0,37.849,228.01,17,32,3,0.079,0.206
2,dynamic,succeeded,0,36.57,95.15,7,12,3,0.274,0.25
3,dynamic,aborted,0,31.283,92.18,9,11,6,0.208,0.3256
3,dynamic,succeeded,1,42.562,116.58,7,12,4,0.051,0.302
4,dynamic,succeeded,0,39.671,105.24,8,10,4,0.257,0.3628
5,dynamic,succeeded,0,36.896,98.39,6,12,4,0.142,0.2898
6,dynamic,succeeded,0,36.416,97.55,7,12,3,0.26,0.3479
7,dynamic,succeeded,0,36.406,99.05,7,10,3,0.124,0.203
8,dynamic,aborted,0,32.063,104.98,10,11,4,0.101,0.2824
8,dynamic,aborted,1,28.905,114.99,12,12,3,0.121,0.2805
8,dynamic,succeeded,2,44.305,124.3,12,12,5,0.023,0.301
9,dynamic,aborted,0,17.135,56.64,2,5,2,0.076,0.3262
9,dynamic,succeeded,1,36.301,99.97,5,7,2,0.282,0.2439
10,dynamic,aborted,0,25.795,345.66,45,50,3,0.198,0.1023
10,dynamic,succeeded,1,36.249,97.88,8,13,3,0.302,0.2763
1,dynamic_astar,aborted,0,27.073,74.92,7,15,3,0.159,0.3929
1,dynamic_astar,succeeded,1,41.694,383.21,29,32,7,0.114,0.1736
2,dynamic_astar,succeeded,0,36.254,95.13,7,11,4,0.336,0.2754
3,dynamic_astar,timeout,0,37.355,450.61,34,38,49,0.033,0.1406
4,dynamic_astar,succeeded,0,36.329,95.94,7,11,4,0.269,0.2456
5,dynamic_astar,aborted,0,28.21,91.52,10,13,6,0.024,0.3318
5,dynamic_astar,succeeded,1,36.431,99.67,6,10,3,0.305,0.2547
6,dynamic_astar,aborted,0,26.086,351.64,46,54,44,0.077,0.1114
6,dynamic_astar,succeeded,1,36.842,98.58,6,8,1,0.248,0.245
7,dynamic_astar,aborted,0,15.063,63.99,6,7,0,0.512,0.3368
7,dynamic_astar,succeeded,1,36.105,94.14,6,12,3,0.097,0.2371
8,dynamic_astar,aborted,0,16.482,58.26,4,6,3,0.157,0.3075
8,dynamic_astar,succeeded,1,36.601,99.28,6,10,2,0.221,0.2283
9,dynamic_astar,aborted,0,45.106,142.17,14,15,4,0.217,0.2291
9,dynamic_astar,succeeded,1,38.795,115.56,5,12,5,0.157,0.2137
10,dynamic_astar,succeeded,0,41.017,108.62,7,11,4,0.032,0.2497
1,dynamic_dstar,succeeded,0,36.625,95.84,10,14,3,0.077,0.2299
2,dynamic_dstar,succeeded,0,36.421,95.17,11,15,5,0.035,0.2249
3,dynamic_dstar,succeeded,0,36.495,93.92,9,11,2,0.287,0.2185
4,dynamic_dstar,succeeded,0,40.654,366.32,50,51,40,0.088,0.1532
5,dynamic_dstar,succeeded,0,36.656,94.59,6,12,2,0.141,0.1769
6,dynamic_dstar,aborted,0,41.828,130.39,8,17,3,0.229,0.2367
