experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,40.047,131.86,7,12,3,0.187,0.2422
2,social,succeeded,0,36.346,95.42,8,14,7,0.02,0.2699
3,social,succeeded,0,36.512,102.2,7,7,1,0.157,0.3071
4,social,succeeded,0,36.911,102.73,9,13,1,0.172,0.2465
5,social,succeeded,0,36.195,101.64,8,8,6,0.126,0.2413
6,social,succeeded,0,36.219,95.52,8,16,6,0.045,0.2558
7,social,succeeded,0,39.239,131.49,8,14,3,0.263,0.2236
8,social,succeeded,0,36.467,99.64,6,8,0,0.508,0.2699
9,social,aborted,0,32.003,363.7,14,13,7,0.094,0.1509
9,social,succeeded,1,36.657,102.55,10,8,4,0.014,0.2278
10,social,succeeded,0,36.315,102.99,6,9,3,0.25,0.2102
1,social_astar,aborted,0,30.041,84.56,6,12,1,0.185,0.3766
1,social_astar,aborted,1,17.534,367.04,2,7,1,0.322,0.1457
1,social_astar,succeeded,2,38.395,104.09,9,7,3,0.075,0.2595
2,social_astar,succeeded,0,39.261,114.92,9,17,6,0.136,0.3063
3,social_astar,succeeded,0,36.137,114.85,9,10,5,0.042,0.2268
4,social_astar,succeeded,0,36.241,172.16,20,23,14,0.015,0.2261
5,social_astar,succeeded,0,36.218,99.17,7,13,2,0.292,0.2506
6,social_astar,aborted,0,17.172,57.43,4,5,1,0.168,0.3364
6,social_astar,succeeded,1,36.423,114.77,10,10,6,0.258,0.2039
7,social_astar,succeeded,0,36.276,123.07,12,14,5,0.264,0.2217
8,social_astar,aborted,0,24.956,73.45,7,8,4,0.024,0.3047
8,social_astar,succeeded,1,38.061,104.17,8,11,4,0.282,0.2063
9,social_astar,succeeded,0,38.171,112.27,12,14,6,0.004,0.2408
10,social_astar,succeeded,0,36.45,101.59,11,8,4,0.038,0.2056
1,social_smac,aborted,0,53.825,181.8,12,22,11,0.037,0.3287
1,social_smac,succeeded,1,42.156,107.45,10,15,4,0.281,0.3466
2,social_smac,succeeded,0,42.058,125.95,11,12,4,0.041,0.3638
3,social_smac,aborted,0,49.701,167.56,18,18,1,0.305,0.3308
3,social_smac,timeout,1,41.034,450.38,31,47,26,0.023,0.2518
4,social_smac,aborted,0,40.397,182.75,12,16,2,0.321,0.3349
4,social_smac,aborted,1,26.177,81.81,8,11,3,0.2,0.3586
4,social_smac,aborted,2,16.031,121.84,2,3,1,0.357,0.41
5,social_smac,succeeded,0,44.82,141.77,11,16,3,0.072,0.2988
6,social_smac,aborted,0,41.996,115.07,11,13,5,0.076,0.309
6,social_smac,succeeded,1,37.727,100.5,6,9,0,0.479,0.3168
7,social_smac,succeeded,0,37.203,103.42,5,8,1,0.195,0.3212
8,social_smac,succeeded,0,44.308,142.02,8,14,3,0.062,0.3272
9,social_smac,succeeded,0,37.854,101.46,7,8,1,0.16,0.3099
10,social_smac,succeeded,0,37.625,100.55,4,7,1,0.31,0.2986
1,social_dstar,succeeded,0,36.333,87.54,6,10,4,0.023,0.2633
2,social_dstar,succeeded,0,36.758,95.84,7,11,7,0.043,0.3009
3,social_dstar,succeeded,0,37.553,403.79,33,40,53,0.036,0.1622
4,social_dstar,succeeded,0,36.417,103.86,5,8,7,0.249,0.1951
5,social_dstar,succeeded,0,36.448,92.48,7,10,6,0.145,0.296
6,social_dstar,succeeded,0,36.579,93.91,8,11,5,0.066,0.2141
7,social_dstar,succeeded,0,36.785,94.38,8,11,5,0.29,0.2231
8,social_dstar,succeeded,0,40.493,104.82,8,11,16,0.072,0.2884
9,social_dstar,succeeded,0,36.857,104.93,7,12,2,0.3,0.2015
10,social_dstar,aborted,0,29.661,90.74,12,11,6,0.03,0.3136
10,social_dstar,timeout,1,39.699,450.63,31,36,2,0.094,0.1174
