[INFO] [1777714093.544907881] [data_collector]: DataCollector ready  mode=dynamic  encounter=1.00m  personal=1.20m  intimate=0.45m
[INFO] [1777714093.545756196] [data_collector]: Results CSV: /home/dx/CPE631-Navigation-ROS2-main/dynamic_4groups_headless_10.csv

Commands: [s] start  [e] end  [1] social  [2] baseline  [3] dynamic  [q] quit
cmd> [INFO] [1777714098.690826858] [data_collector]: Started experiment [dynamic]
[WARN] [1777714098.777940646] [data_collector]: Personal space violation (<1.20m) +1, total=1
[WARN] [1777714101.106531030] [data_collector]: Personal space violation (<1.20m) +1, total=2
[WARN] [1777714113.257849317] [data_collector]: Personal space violation (<1.20m) +1, total=3
[WARN] [1777714133.192768489] [data_collector]: Personal space violation (<1.20m) +1, total=4
[WARN] [1777714140.683576628] [data_collector]: Personal space violation (<1.20m) +1, total=5
[INFO] [1777714141.095078095] [data_collector]: Encounter (<1.0m) +1, total=1
[WARN] [1777714156.376628456] [data_collector]: Personal space violation (<1.20m) +1, total=6
[INFO] [1777714156.707998416] [data_collector]: Encounter (<1.0m) +1, total=2
[WARN] [1777714157.971309539] [data_collector]: Intimate space violation (<0.45m) +1, total=1
[WARN] [1777714177.001073493] [data_collector]: Personal space violation (<1.20m) +1, total=7
[INFO] [1777714177.585453037] [data_collector]: Encounter (<1.0m) +1, total=3
[WARN] [1777714181.804779348] [data_collector]: Personal space violation (<1.20m) +1, total=8
[WARN] [1777714189.771526569] [data_collector]: Personal space violation (<1.20m) +1, total=9
[INFO] [1777714190.067410665] [data_collector]: Encounter (<1.0m) +1, total=4
[WARN] [1777714191.522831653] [data_collector]: Intimate space violation (<0.45m) +1, total=2
[WARN] [1777714194.179134838] [data_collector]: Personal space violation (<1.20m) +1, total=10
[WARN] [1777714196.392333855] [data_collector]: Personal space violation (<1.20m) +1, total=11
[WARN] [1777714201.879413855] [data_collector]: Personal space violation (<1.20m) +1, total=12
[INFO] [1777714202.815883322] [data_collector]: Encounter (<1.0m) +1, total=5
[WARN] [1777714204.568981377] [data_collector]: Intimate space violation (<0.45m) +1, total=3
[WARN] [1777714211.182716504] [data_collector]: Personal space violation (<1.20m) +1, total=13
[INFO] [1777714211.780556467] [data_collector]: Encounter (<1.0m) +1, total=6
[WARN] [1777714213.292269839] [data_collector]: Intimate space violation (<0.45m) +1, total=4
[WARN] [1777714223.695238356] [data_collector]: Personal space violation (<1.20m) +1, total=14
[INFO] [1777714224.342895094] [data_collector]: Encounter (<1.0m) +1, total=7
[WARN] [1777714225.620485990] [data_collector]: Intimate space violation (<0.45m) +1, total=5
[WARN] [1777714231.716124588] [data_collector]: Personal space violation (<1.20m) +1, total=15
