[INFO] [1777750072.955033201] [data_collector]: DataCollector ready  mode=social_dstar  encounter=1.00m  personal=1.20m  intimate=0.45m
[INFO] [1777750072.955682817] [data_collector]: Results CSV: /home/dx/CPE631-Navigation-ROS2-main/social_4groups_headless_10.csv

Commands: [s] start  [e] end  [1] social  [2] baseline  [3] dynamic  [q] quit
cmd> [INFO] [1777750078.068436870] [data_collector]: Started experiment [social_dstar]
[WARN] [1777750078.283883084] [data_collector]: Personal space violation (<1.20m) +1, total=1
[WARN] [1777750080.243357219] [data_collector]: Personal space violation (<1.20m) +1, total=2
[WARN] [1777750091.021767408] [data_collector]: Personal space violation (<1.20m) +1, total=3
[WARN] [1777750093.093442245] [data_collector]: Personal space violation (<1.20m) +1, total=4
[WARN] [1777750109.940962002] [data_collector]: Personal space violation (<1.20m) +1, total=5
[INFO] [1777750111.042774862] [data_collector]: Encounter (<1.0m) +1, total=1
[WARN] [1777750112.736197809] [data_collector]: Personal space violation (<1.20m) +1, total=6
[WARN] [1777750116.849686815] [data_collector]: Personal space violation (<1.20m) +1, total=7
[INFO] [1777750117.142268639] [data_collector]: Encounter (<1.0m) +1, total=2
[WARN] [1777750117.592414384] [data_collector]: Intimate space violation (<0.45m) +1, total=1
[WARN] [1777750130.086660019] [data_collector]: Personal space violation (<1.20m) +1, total=8
[INFO] [1777750130.359624337] [data_collector]: Encounter (<1.0m) +1, total=3
[WARN] [1777750132.687043670] [data_collector]: Intimate space violation (<0.45m) +1, total=2
[WARN] [1777750134.316806464] [data_collector]: Intimate space violation (<0.45m) +1, total=3
[WARN] [1777750148.476474560] [data_collector]: Personal space violation (<1.20m) +1, total=9
[WARN] [1777750154.229949972] [data_collector]: Personal space violation (<1.20m) +1, total=10
[INFO] [1777750154.695387150] [data_collector]: Encounter (<1.0m) +1, total=4
[WARN] [1777750156.986874971] [data_collector]: Intimate space violation (<0.45m) +1, total=4
[WARN] [1777750165.597767939] [data_collector]: Personal space violation (<1.20m) +1, total=11
[INFO] [1777750167.495551637] [data_collector]: Encounter (<1.0m) +1, total=5
[WARN] [1777750169.447555403] [data_collector]: Intimate space violation (<0.45m) +1, total=5
[INFO] [1777750179.526667157] [data_collector]: Encounter (<1.0m) +1, total=6
[WARN] [1777750180.161529894] [data_collector]: Personal space violation (<1.20m) +1, total=12
[WARN] [1777750181.986450181] [data_collector]: Personal space violation (<1.20m) +1, total=13
[WARN] [1777750187.307480402] [data_collector]: Personal space violation (<1.20m) +1, total=14
[INFO] [1777750187.539899310] [data_collector]: Encounter (<1.0m) +1, total=7
[WARN] [1777750194.328072367] [data_collector]: Personal space violation (<1.20m) +1, total=15
[INFO] [1777750194.872143685] [data_collector]: Encounter (<1.0m) +1, total=8
[WARN] [1777750196.011600636] [data_collector]: Intimate space violation (<0.45m) +1, total=6
[WARN] [1777750208.678881286] [data_collector]: Personal space violation (<1.20m) +1, total=16
[INFO] [1777750209.309569370] [data_collector]: Encounter (<1.0m) +1, total=9
[WARN] [1777750225.428165648] [data_collector]: Personal space violation (<1.20m) +1, total=17
[INFO] [1777750225.729571766] [data_collector]: Encounter (<1.0m) +1, total=10
[WARN] [1777750226.712593573] [data_collector]: Intimate space violation (<0.45m) +1, total=7
[WARN] [1777750227.956313192] [data_collector]: Intimate space violation (<0.45m) +1, total=8
[WARN] [1777750241.760650056] [data_collector]: Personal space violation (<1.20m) +1, total=18
[INFO] [1777750242.284536208] [data_collector]: Encounter (<1.0m) +1, total=11
[WARN] [1777750243.603588880] [data_collector]: Intimate space violation (<0.45m) +1, total=9
[WARN] [1777750245.449838602] [data_collector]: Intimate space violation (<0.45m) +1, total=10
[WARN] [1777750258.244686430] [data_collector]: Personal space violation (<1.20m) +1, total=19
[INFO] [1777750258.663093475] [data_collector]: Encounter (<1.0m) +1, total=12
